link_id,theta_var,theta_offset_deg,d,a,alpha_deg
1,theta1,0,145.3,0.0,-90
2,theta2,-90,-6.45,0.0,0
3,0,0,0.0,286.0,0
4,theta3,-90,0.0,0.0,-90
5,0,0,0.0,0.0,0
6,theta4,90,344.0,0.0,-90
7,0,90,0.0,0.0,0
8,theta5,90,0.0,0.0,0
9,theta6,0,100.0,0.0,0
